cluster_id,concept,count
15,computer science,1722
15,artificial intelligence,1595
15,machine learning,984
15,engineering,639
15,artificial neural network,574
15,transformer,552
15,voltage,520
15,convolutional neural network,514
15,pattern recognition (psychology),498
15,deep learning,491
1,computer science,2938
1,artificial intelligence,2814
1,natural language processing,2529
1,philosophy,1386
1,linguistics,1360
1,machine translation,1231
1,chemistry,948
1,biochemistry,914
1,translation (biology),811
1,messenger rna,804
2,computer science,6509
2,artificial intelligence,5998
2,natural language processing,4986
2,philosophy,2424
2,linguistics,2305
2,machine learning,2204
2,mathematics,1733
2,programming language,1593
2,task (project management),1477
2,information retrieval,1351
3,computer science,7845
3,artificial intelligence,7741
3,pattern recognition (psychology),5641
3,feature (linguistics),5052
3,computer vision,3523
3,philosophy,3433
3,linguistics,3356
3,convolutional neural network,3002
3,machine learning,2603
3,mathematics,2441
25,computer science,491
25,linguistics,463
25,psychology,462
25,philosophy,422
25,mathematics education,276
25,artificial intelligence,248
25,sociology,183
25,political science,173
25,pedagogy,157
25,natural language processing,147
351,computer science,1877
351,artificial intelligence,1800
351,machine learning,995
351,natural language processing,870
351,feature (linguistics),728
351,philosophy,702
351,pattern recognition (psychology),689
351,linguistics,657
351,feature learning,586
351,mathematics,477
6,computer science,2708
6,artificial intelligence,2442
6,natural language processing,2088
6,automatic summarization,1054
6,philosophy,980
6,information retrieval,880
6,linguistics,862
6,mathematics,702
6,machine learning,643
6,task (project management),602
7,computer science,1709
7,artificial intelligence,1551
7,speech recognition,1526
7,natural language processing,673
7,physics,451
7,philosophy,407
7,linguistics,384
7,mathematics,379
7,pattern recognition (psychology),362
7,artificial neural network,335
20,computer science,912
20,artificial intelligence,821
20,programming language,648
20,natural language processing,638
20,code (set theory),513
20,set (abstract data type),287
20,source code,257
20,machine learning,248
20,information retrieval,225
20,mathematics,208
9,computer science,2443
9,artificial intelligence,2180
9,natural language processing,1846
9,machine learning,832
9,philosophy,731
9,task (project management),729
9,information retrieval,696
9,data mining,675
9,management,662
9,relationship extraction,660
10,computer science,3978
10,artificial intelligence,3733
10,sentiment analysis,2815
10,natural language processing,2510
10,machine learning,1737
10,philosophy,1341
10,linguistics,1334
10,world wide web,815
10,mathematics,814
10,feature (linguistics),786
11,computer science,3095
11,artificial intelligence,3028
11,natural language processing,1975
11,image (mathematics),1131
11,machine learning,976
11,philosophy,888
11,pattern recognition (psychology),869
11,physics,864
11,linguistics,841
11,mathematics,706
14,feature (linguistics),334
14,computer science,276
14,artificial intelligence,276
14,pattern recognition (psychology),235
14,philosophy,184
14,linguistics,181
14,feature learning,168
14,identification (biology),164
14,machine learning,157
14,botany,153
19,computer science,457
19,artificial intelligence,446
19,pattern recognition (psychology),260
19,linguistics,256
19,philosophy,248
19,mathematics,178
19,sign language,176
19,natural language processing,155
19,feature (linguistics),152
19,action recognition,140
23,computer science,895
23,artificial intelligence,768
23,natural language processing,695
23,linguistics,435
23,philosophy,399
23,psychology,325
23,machine learning,267
23,speech recognition,215
23,world wide web,215
23,offensive,194
18,computer science,414
18,artificial intelligence,403
18,natural language processing,264
18,pattern recognition (psychology),238
18,image (mathematics),159
18,philosophy,138
18,linguistics,132
18,feature (linguistics),130
18,mathematics,130
18,information retrieval,116
21,computer science,147
21,artificial intelligence,133
21,natural language processing,89
21,speech recognition,70
21,linguistics,60
21,spelling,56
21,telecommunications,49
21,philosophy,46
21,mathematics,45
21,algorithm,32
30,performing arts,2
30,value (mathematics),2
30,capital (architecture),2
30,realm,1
30,affect (linguistics),1
30,incentive,1
30,capitalism,1
30,human capital,1
30,public relations,1
30,sociology,1
31,education for sustainable development,1
31,curriculum,1
31,environmental education,1
31,argumentation theory,1
31,sustainability,1
31,sustainable development,1
31,norwegian,1
31,pedagogy,1
31,sociology,1
31,curriculum development,1
32,agricultural policy,2
32,agricultural land,2
32,social capital,1
32,agriculture,1
32,business,1
32,government (linguistics),1
32,bridging (networking),1
32,common agricultural policy,1
32,public policy,1
32,economic growth,1
33,empathy,1
33,psychology,1
33,psychological intervention,1
33,psychosocial,1
33,narrative,1
33,social psychology,1
33,stalking,1
33,applied psychology,1
