id,title,year,pagerank,cluster
W2491664569,A Siamese Long Short-Term Memory Architecture for Human Re-identification,2016,0.10210916810332697,5
W219040644,Unsupervised Learning of Visual Representations Using Videos,2015,0.07439200183082151,5
W343636949,Unsupervised Visual Representation Learning by Context Prediction,2015,0.0594356826359844,5
W2116435618,Unsupervised Learning of Video Representations using LSTMs,2015,0.03339423105853022,5
W2963420272,Context Encoders: Feature Learning by Inpainting,2016,0.018161850168342035,5
W3035524453,Momentum Contrast for Unsupervised Visual Representation Learning,2020,0.014615315202625044,5
W2321533354,Unsupervised Learning of Visual Representations by Solving Jigsaw Puzzles,2016,0.014614564034571327,5
W3005680577,A Simple Framework for Contrastive Learning of Visual Representations,2020,0.012904309425567535,5
W2502225121,Gated Siamese Convolutional Neural Network Architecture for Human Re-identification,2016,0.012109328506613753,5
W2326925005,Colorful Image Colorization,2016,0.011261643613738295,5
W2723293840,Deep Interest Network for Click-Through Rate Prediction,2018,0.009935222174946521,5
W2798991696,Unsupervised Feature Learning via Non-parametric Instance Discrimination,2018,0.00970565460719883,5
W4297808394,Representation Learning with Contrastive Predictive Coding,2018,0.009002972905826875,5
W2842511635,Representation Learning with Contrastive Predictive Coding,2018,0.008100746687517287,5
W2963869731,DKN,2018,0.006555220437847264,5
W2883725317,Deep Clustering for Unsupervised Learning of Visual Features,2018,0.006013739517362388,5
W2575671312,Learning Features by Watching Objects Move,2017,0.005915473774008354,5
W2741249238,Attentive Collaborative Filtering,2017,0.005905762019735902,5
W2584637367,Re-ranking Person Re-identification with k-Reciprocal Encoding,2017,0.005852787606234411,5
W3009561768,Improved Baselines with Momentum Contrastive Learning,2020,0.005437680249510784,5
W2962824366,Multi-task Self-Supervised Visual Learning,2017,0.00531658606330752,5
W2963367478,Self-Attentive Sequential Recommendation,2018,0.005202887928044676,5
W2412320034,Adversarial Feature Learning,2016,0.004955263572103698,5
W2887997457,Learning deep representations by mutual information estimation and maximization,2018,0.004824495493896597,5
W2964052347,Attentional Factorization Machines: Learning the Weight of Feature Interactions via Attention Networks,2017,0.0047645281968075786,5
W2785325870,Unsupervised Representation Learning by Predicting Image Rotations,2018,0.004369687367586055,5
W2949517790,Contrastive Multiview Coding,2019,0.004214783880765338,5
W2964130064,SVDNet for Pedestrian Retrieval,2017,0.004059928672078168,5
W2773640334,Latent Cross,2018,0.0038452233331708837,5
W2342877626,Context Encoders: Feature Learning by Inpainting,2016,0.0037788198463541423,5
W3036224891,Unsupervised Learning of Visual Features by Contrasting Cluster Assignments,2020,0.0037463394773139,5
W3171007011,Exploring Simple Siamese Representation Learning,2021,0.0037281084067382064,5
W4294568686,Adversarial Feature Learning,2016,0.0034403222845968764,5
W2966349618,Explainable Reasoning over Knowledge Graphs for Recommendation,2019,0.0034023990426852425,5
W2962926870,Harmonious Attention Network for Person Re-identification,2018,0.0034008375713075038,5
W2913939497,Revisiting Self-Supervised Visual Representation Learning,2019,0.0032853840326025263,5
W2987283559,Momentum Contrast for Unsupervised Visual Representation Learning,2019,0.0029309323180842202,5
W3159481202,Emerging Properties in Self-Supervised Vision Transformers,2021,0.002894503296226379,5
W3098711604,A Discriminatively Learned CNN Embedding for Person Reidentification,2017,0.0028067887013135794,5
W2998388430,Local Aggregation for Unsupervised Learning of Visual Embeddings,2019,0.0027601745013165,5
W2948734064,Learning a Unified Classifier Incrementally via Rebalancing,2019,0.0023672776881217446,5
W3100506510,Learning Discriminative Features with Multiple Granularities for Person Re-Identification,2018,0.0022877726529498127,5
W2963265008,Adversarial Feature Learning,2016,0.0022772311922104457,5
W2783944588,Sequential Recommendation with User Memory Networks,2018,0.002268325337715945,5
W2768610172,Person Re-identification by Deep Learning Multi-scale Representations,2017,0.0022142392039744565,5
W3023371261,Self-Supervised Visual Feature Learning With Deep Neural Networks: A Survey,2020,0.0021085511378787394,5
W3095602948,Graph Contrastive Learning with Augmentations,2020,0.002059820385270121,5
W2902040508,A Simple Convolutional Generative Network for Next Item Recommendation,2019,0.002052007246211056,5
W2799215068,A Generative Adversarial Approach for Zero-Shot Learning from Noisy Texts,2018,0.002033768067194335,5
W3022061250,Prototypical Contrastive Learning of Unsupervised Representations,2020,0.0020223540539701574,5
W2963383990,Pedestrian Alignment Network for Large-scale Person Re-Identification,2018,0.0020052635307616306,5
W2802187397,NAIS: Neural Attentive Item Similarity Model for Recommendation,2018,0.001998784445168482,5
W2969803502,Arbitrary Style Transfer With Style-Attentional Networks,2019,0.001997865637566413,5
W3106439716,Knowledge Graph Convolutional Networks for Recommender Systems,2019,0.0019843717873559773,5
W2963975998,Unsupervised Person Re-identification,2018,0.001950796407498676,5
W2550462002,Self-Supervised Video Representation Learning with Odd-One-Out Networks,2017,0.001930534976359413,5
W2963365374,HydraPlus-Net: Attentive Deep Features for Pedestrian Analysis,2017,0.0018337318285950941,5
W2769346661,AlignedReID: Surpassing Human-Level Performance in Person Re-Identification,2017,0.0017473876778788828,5
W2951873722,Learning deep representations by mutual information estimation and maximization,2018,0.0017267894608806243,5
W3173151551,Self-supervised Learning: Generative or Contrastive,2021,0.0017254636666467979,5
W2963800363,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs,2018,0.0017157484644531003,5
W2749348810,Interpretable Convolutional Neural Networks with Dual Local and Global Attention for Review Rating Prediction,2017,0.0017135368956477206,5
W2963911286,Knowledge-aware Graph Neural Networks with Label Smoothness Regularization for Recommender Systems,2019,0.001709148720281078,5
W2797977484,The iNaturalist Species Classification and Detection Dataset,2018,0.0016800645502042767,5
W2793768763,xDeepFM,2018,0.0016366209225817199,5
W2963283377,Generalized Zero- and Few-Shot Learning via Aligned Variational Autoencoders,2019,0.0016223127267365755,5
W3101704389,AutoInt,2019,0.001601033843711886,5
W2924476266,F-VAEGAN-D2: A Feature Generating Framework for Any-Shot Learning,2019,0.0015677462876215985,5
W3026092005,What Makes for Good Views for Contrastive Learning?,2020,0.0015467456624904464,5
W2970793364,Neural News Recommendation with Multi-Head Self-Attention,2019,0.0015430336963358404,5
W3171926364,Contrastive Embedding for Generalized Zero-Shot Learning,2021,0.001524349034577449,5
W3145450063,An Empirical Study of Training Self-Supervised Vision Transformers,2021,0.0015098709954477236,5
W2799269579,Exploring the Limits of Weakly Supervised Pretraining,2018,0.0015096243866741677,5
W2339172597,Relay Backpropagation for Effective Learning of Deep Convolutional Neural Networks,2016,0.0014860750440421698,5
W2804935296,Do Better ImageNet Models Transfer Better?,2019,0.0014469453172562712,5
W2950180292,Deep Clustering for Unsupervised Learning of Visual Features,2018,0.0014368192085057636,5
W2962706983,Multi-level Factorisation Net for Person Re-identification,2018,0.0014173537927465627,5
W3114632476,A Survey on Contrastive Self-Supervised Learning,2020,0.001412818991096315,5
W2963878474,Unsupervised Moving Object Detection via Contextual Information Separation,2019,0.0014110709046236784,5
W2622829582,See the Forest for the Trees: Joint Spatial and Temporal Recurrent Neural Networks for Video-Based Person Re-identification,2017,0.0014039101190039464,5
W2795282075,Learning to Reweight Examples for Robust Deep Learning,2018,0.0013885935410036703,5
W2912351665,Multi-Task Feature Learning for Knowledge Graph Enhanced Recommendation,2019,0.0013808295309460656,5
W2951585248,A Theoretical Analysis of Contrastive Unsupervised Representation Learning,2019,0.00135992107350803,5
W2964926209,Graph Contextualized Self-Attention Network for Session-based Recommendation,2019,0.001329374729337208,5
W3087124270,Contrastive Clustering,2021,0.00132294995769818,5
W2963805953,Human Semantic Parsing for Person Re-identification,2018,0.0013187246089917393,5
W2964044605,Dual Attention Matching Network for Context-Aware Feature Sequence Based Person Re-identification,2018,0.00131296541528621,5
W2970236742,Towards Knowledge-Based Recommender Dialog System,2019,0.0012928472067027755,5
W2963910742,Attention-Aware Compositional Network for Person Re-identification,2018,0.001291199955673647,5
