Author,Reported_Degree,Actual_Degree,Strength
Jacob Devlin,181,181,218
Ming-Wei Chang,21,21,29
Kenton Lee,33,33,46
Kristina Toutanova,18,18,25
Ashish Vaswani,10,10,10
Noam M. Shazeer,103,103,133
Niki Parmar,7,7,7
Jakob Uszkoreit,27,27,31
Llion Jones,40,40,47
Aidan N. Gomez,7,7,7
Lukasz Kaiser,100,100,110
Illia Polosukhin,23,23,25
Alec Radford,82,82,125
Jeff Wu,64,64,89
R. Child,229,229,268
D. Luan,70,70,71
Dario Amodei,77,77,106
I. Sutskever,105,105,142
Tom B. Brown,147,147,182
Benjamin Mann,144,144,166
Nick Ryder,185,185,218
Melanie Subbiah,150,150,172
J. Kaplan,31,31,42
Prafulla Dhariwal,144,144,166
Arvind Neelakantan,147,147,169
Pranav Shyam,144,144,166
Girish Sastry,188,188,229
Amanda Askell,207,207,245
Sandhini Agarwal,164,164,196
Ariel Herbert-Voss,187,187,225
Gretchen Krueger,188,188,229
T. Henighan,144,144,175
A. Ramesh,34,34,41
Daniel M. Ziegler,171,171,197
Clemens Winter,188,188,221
Christopher Hesse,30,30,30
Mark Chen,185,185,218
Eric Sigler,144,144,166
Ma-teusz Litwin,144,144,166
Scott Gray,185,185,230
Benjamin Chess,144,144,175
Jack Clark,37,37,48
Christopher Berner,144,144,166
Sam McCandlish,186,186,230
Tomas Mikolov,28,28,45
Kai Chen,79,79,95
G. Corrado,54,54,68
J. Dean,133,133,168
Jeffrey Pennington,7,7,7
R. Socher,58,58,83
Christopher D. Manning,59,59,77
O. Vinyals,59,59,72
Quoc V. Le,131,131,176
Kyunghyun Cho,61,61,75
B. V. Merrienboer,7,7,13
Çaglar Gülçehre,19,19,24
Dzmitry Bahdanau,75,75,93
Fethi Bougares,6,6,6
Holger Schwenk,13,13,18
Yoshua Bengio,67,67,91
Matthew E. Peters,70,70,88
Mark Neumann,15,15,20
Mohit Iyyer,31,31,38
Matt Gardner,28,28,36
Christopher Clark,25,25,30
Luke Zettlemoyer,54,54,84
Wei Wang,175,175,182
Chen Wu,12,12,15
Ming Yan,31,31,39
Fu Sun,16,16,16
Linyang Li,6,6,9
Xipeng Qiu,102,102,145
Yang Liu,195,195,228
Kevin Clark,3,3,4
Minh-Thang Luong,23,23,27
Wen-tau Yih,45,45,48
Rowan Zellers,13,13,21
Yonatan Bisk,59,59,69
Roy Schwartz,79,79,96
Yejin Choi,59,59,82
Rami Al-Rfou,13,13,13
Dokook Choe,4,4,4
Noah Constant,13,13,13
Mandy Guo,15,15,15
A. Akbik,2,2,2
Duncan A. J. Blythe,2,2,2
Roland Vollgraf,2,2,2
Alex Warstadt,7,7,8
Amanpreet Singh,401,401,415
Samuel R. Bowman,64,64,73
Alex Wang,9,9,14
Julian Michael,7,7,12
Felix Hill,9,9,14
Omer Levy,71,71,99
Lajanugen Logeswaran,7,7,7
Honglak Lee,1,1,1
Adams Wei Yu,35,35,37
David Dohan,87,87,92
Rui Zhao,37,37,40
Mohammad Norouzi,35,35,36
W. Fedus,23,23,33
I. Goodfellow,12,12,14
Andrew M. Dai,198,198,262
Jeremy Howard,1,1,1
Sebastian Ruder,365,365,400
Bryan McCann,6,6,15
James Bradbury,171,171,204
Caiming Xiong,192,192,235
Daniel Matthew Cer,7,7,7
Mona T. Diab,34,34,34
Eneko Agirre,44,44,47
